<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-9.18,15,20180907,143000,105410.0000000,105450.0000000,105250.0000000,105290.0000000,3386
SPFB.RTS-9.18,15,20180907,144500,105290.0000000,105460.0000000,104940.0000000,104970.0000000,10038
SPFB.RTS-9.18,15,20180907,150000,104960.0000000,105260.0000000,104950.0000000,105170.0000000,8658
SPFB.RTS-9.18,15,20180907,151500,105170.0000000,105360.0000000,105100.0000000,105350.0000000,4821
SPFB.RTS-9.18,15,20180907,153000,105310.0000000,105400.0000000,104800.0000000,104990.0000000,22613
SPFB.RTS-9.18,15,20180907,154500,104990.0000000,105110.0000000,104810.0000000,104940.0000000,9921
SPFB.RTS-9.18,15,20180907,160000,104930.0000000,105280.0000000,104860.0000000,105180.0000000,13890
SPFB.RTS-9.18,15,20180907,161500,105200.0000000,105220.0000000,105060.0000000,105100.0000000,3724
SPFB.RTS-9.18,15,20180907,163000,105110.0000000,105240.0000000,104970.0000000,105100.0000000,9343
SPFB.RTS-9.18,15,20180907,164500,105110.0000000,105310.0000000,105040.0000000,105280.0000000,8670
SPFB.RTS-9.18,15,20180907,170000,105280.0000000,105600.0000000,105240.0000000,105540.0000000,13300
SPFB.RTS-9.18,15,20180907,171500,105540.0000000,105540.0000000,105290.0000000,105410.0000000,9428
SPFB.RTS-9.18,15,20180907,173000,105410.0000000,105520.0000000,105300.0000000,105320.0000000,5829
SPFB.RTS-9.18,15,20180907,174500,105330.0000000,105520.0000000,105310.0000000,105340.0000000,6209
SPFB.RTS-9.18,15,20180907,180000,105340.0000000,105470.0000000,105320.0000000,105400.0000000,6011
SPFB.RTS-9.18,15,20180907,181500,105410.0000000,105500.0000000,105320.0000000,105430.0000000,5438
SPFB.RTS-9.18,15,20180907,183000,105430.0000000,105630.0000000,105370.0000000,105620.0000000,7963
SPFB.RTS-9.18,15,20180907,190000,105590.0000000,105590.0000000,104590.0000000,104820.0000000,15010
